FirstName,LastName,Height,Weight,Position,DOB,Age,Uniform,City,State,College,InsideScoring,PotInside,JumpShot,PotJumpShot,FtShot,PotFtShot,3pShot,Pot3pShot,3pUsage,Handling,PotHandling,Passing,PotPassing,PostDefense,PotPostDefense,PerimeterDefense,PotPerimeterDefense,Stealing,PotStealing,Blocking,PotBlocking,OReb,PotOReb,DReb,PotDReb,Fouling,Strength,Quickness,Jumping,Stamina,Picname,InjuryAvoidance
Bam,Adebayo,81,255,C,35629,19,13,Newark,NJ,Kentucky,42,84,18,56,67,67,0,8,4,27,55,24,47,42,78,17,44,34,56,45,69,59,74,54,84,84,82,32,74,75,0,30
Dennis,Scott,80,230,SF,25086,21,0,0,0,Georgia Tech,51,64,54,63,76,76,73,91,77,44,50,24,38,37,43,39,45,33,48,22,27,19,20,25,28,62,42,62,32,82,0,96
Sandro,Mamukelashvili,83,240,PF,36303,21,54,0,0,Seton Hall,35,47,23,32,40,50,44,55,67,32,32,7,46,39,55,15,20,0,50,31,31,31,56,26,42,74,62,38,56,71,0,77
Lester,Hudson,75,190,SG,30901,24,14,Memphis,TN,Tennessee Martin,49,49,42,44,78,78,15,15,54,28,36,16,20,22,27,63,66,66,66,22,22,14,15,18,26,39,30,78,39,72,0,50
Craig,Hodges,75,195,PG,22094,21,0,0,0,Long Beach State,31,42,63,92,81,81,74,93,15,30,66,32,47,12,17,41,62,60,67,5,6,11,19,8,12,55,52,92,26,77,0,12
Oleksiy,Pecherov,84,232,C,31389,20,0,Donetsk,Ukraine,None,22,37,27,39,76,76,30,38,100,31,34,4,5,35,59,13,18,18,26,43,54,37,54,29,53,47,52,25,37,64,0,54
Warren,Kidd,81,235,PF,25820,22,0,0,0,Middle Tennessee,34,37,24,31,38,38,0,0,0,35,37,10,11,52,52,15,18,27,28,42,52,64,65,62,65,0,78,39,61,67,0,61
Marseille,Mascot,77,195,PG,3/5/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco,Mascot,77,195,PG,3/6/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paris Saint-Germain,Mascot,77,195,PG,3/7/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real Madrid,Mascot,77,195,PG,3/8/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporting CP,Mascot,77,195,PG,3/9/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tottenham Hotspur,Mascot,77,195,PG,3/10/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valencia,Mascot,77,195,PG,3/11/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC Milan,Mascot,77,195,PG,2/17/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFC Richmond,Mascot,77,195,PG,2/18/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajax,Mascot,77,195,PG,2/19/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Mascot,77,195,PG,2/20/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Mascot,77,195,PG,2/21/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atletico Madrid,Mascot,77,195,PG,2/22/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona,Mascot,77,195,PG,2/23/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayern Munich,Mascot,77,195,PG,2/24/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benfica,Mascot,77,195,PG,2/25/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton,Mascot,77,195,PG,2/26/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea,Mascot,77,195,PG,2/27/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Mascot,77,195,PG,2/28/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inter Milan,Mascot,77,195,PG,2/29/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juventus,Mascot,77,195,PG,3/1/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL Fart,Mascot,77,195,PG,3/2/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester City,Mascot,77,195,PG,3/3/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester United,Mascot,77,195,PG,3/4/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marseille,Mascot,77,195,PG,3/5/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco,Mascot,77,195,PG,3/6/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paris Saint-Germain,Mascot,77,195,PG,3/7/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real Madrid,Mascot,77,195,PG,3/8/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporting CP,Mascot,77,195,PG,3/9/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tottenham Hotspur,Mascot,77,195,PG,3/10/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valencia,Mascot,77,195,PG,3/11/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC Milan,Mascot,77,195,PG,2/17/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFC Richmond,Mascot,77,195,PG,2/18/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajax,Mascot,77,195,PG,2/19/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Mascot,77,195,PG,2/20/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Mascot,77,195,PG,2/21/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atletico Madrid,Mascot,77,195,PG,2/22/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona,Mascot,77,195,PG,2/23/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayern Munich,Mascot,77,195,PG,2/24/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benfica,Mascot,77,195,PG,2/25/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton,Mascot,77,195,PG,2/26/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea,Mascot,77,195,PG,2/27/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Mascot,77,195,PG,2/28/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inter Milan,Mascot,77,195,PG,2/29/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juventus,Mascot,77,195,PG,3/1/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL Fart,Mascot,77,195,PG,3/2/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester City,Mascot,77,195,PG,3/3/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester United,Mascot,77,195,PG,3/4/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marseille,Mascot,77,195,PG,3/5/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco,Mascot,77,195,PG,3/6/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paris Saint-Germain,Mascot,77,195,PG,3/7/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real Madrid,Mascot,77,195,PG,3/8/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporting CP,Mascot,77,195,PG,3/9/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tottenham Hotspur,Mascot,77,195,PG,3/10/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valencia,Mascot,77,195,PG,3/11/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
