FirstName,LastName,Height,Weight,Position,DOB,Age,Uniform,City,State,College,InsideScoring,PotInside,JumpShot,PotJumpShot,FtShot,PotFtShot,3pShot,Pot3pShot,3pUsage,Handling,PotHandling,Passing,PotPassing,PostDefense,PotPostDefense,PerimeterDefense,PotPerimeterDefense,Stealing,PotStealing,Blocking,PotBlocking,OReb,PotOReb,DReb,PotDReb,Fouling,Strength,Quickness,Jumping,Stamina,Picname,InjuryAvoidance
Tyus,Edney,70,152,PG,26709,21,0,0,0,UCLA,32,49,30,34,78,78,19,19,18,74,76,52,52,11,13,54,71,49,76,2,3,14,16,10,17,32,20,95,77,79,0,59
Lynn,Greer,74,175,PG,29151,26,3,0,0,Temple,28,34,66,66,73,73,57,58,43,56,60,21,24,16,18,59,65,54,57,6,6,4,5,14,17,53,39,88,39,72,0,37
Alvin,Robertson,76,190,PG,22849,21,0,0,0,Arkansas,46,79,68,82,68,68,43,50,3,54,64,65,65,29,32,54,72,86,118,30,35,61,69,30,44,33,54,91,55,81,0,38
Toni,Kukoc,83,230,SF,25099,24,7,Split,Croatia,None,38,55,55,60,66,66,62,78,37,42,69,40,54,41,56,48,52,62,66,28,35,39,46,34,47,70,61,59,66,81,0,48
Mark,Davis,77,195,SG,23170,24,0,0,0,Old Dominion,45,45,73,73,72,72,0,0,16,35,36,13,13,21,27,47,58,57,74,30,31,28,28,21,23,0,53,73,49,72,0,47
Kyrylo,Fesenko,85,280,C,31770,19,44,Dnipropetrovsk,USSR,None,27,37,9,15,17,17,0,0,0,15,28,4,9,38,60,11,11,10,22,54,67,35,52,27,44,71,63,21,57,64,0,79
Jim,Jackson,78,220,SG,25855,21,0,0,0,Ohio State,76,77,60,77,81,81,70,87,13,25,46,44,45,31,40,42,53,43,49,17,21,35,45,19,47,67,44,75,64,89,0,39
Victor,Oladipo,76,215,SG,33728,20,5,Silver Spring,MD,Indiana,50,58,41,55,77,77,56,62,34,31,42,44,50,24,34,43,64,52,78,18,22,7,12,31,38,46,40,78,56,86,0,68
Torrey,Craig,79,221,SF,33957,23,3,Columbia,SC,Usc Upstate,35,35,65,65,58,58,57,57,58,48,48,21,21,41,52,33,60,23,41,48,54,45,47,41,51,44,74,54,22,72,0,69
Audie,Norris,81,250,PF,22268,20,0,0,0,Jackson State,31,40,13,17,56,56,0,0,0,15,21,21,23,28,43,24,31,41,55,37,46,45,62,48,56,14,54,39,79,67,0,36
Terrance,Ferguson,78,190,SG,35932,18,23,Tulsa,OK,None,25,38,65,72,70,70,41,45,56,30,36,12,14,16,23,27,45,16,31,19,24,8,13,7,10,71,63,63,14,74,0,53
Joel,Przybilla,85,255,C,29138,20,10,Monticello,MN,Minnesota,30,37,6,34,39,39,0,0,0,28,34,9,15,62,75,10,12,19,23,73,89,53,76,50,88,63,79,19,74,67,0,30
Rodrigue,Beaubois,74,185,PG,32197,20,3,Pointe-a-Pitre,France,None,25,48,73,73,78,78,54,54,58,31,52,22,31,18,28,50,60,50,63,27,32,10,11,28,33,48,46,94,33,72,0,55
Kai,Jones,83,218,C,36544,20,23,Nassau,Bahamas,Texas,28,42,20,34,32,59,27,32,14,0,29,1,12,41,44,34,39,0,40,45,51,24,48,28,49,70,49,47,31,78,0,79
Bob,Martin,84,255,C,25483,23,0,0,0,Minnesota,36,36,20,20,47,47,0,0,0,26,30,10,10,46,52,12,12,21,21,68,68,51,51,44,44,74,55,20,46,64,0,97
Bayern Munich,Mascot,77,195,PG,2/24/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benfica,Mascot,77,195,PG,2/25/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton,Mascot,77,195,PG,2/26/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea,Mascot,77,195,PG,2/27/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Mascot,77,195,PG,2/28/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inter Milan,Mascot,77,195,PG,2/29/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juventus,Mascot,77,195,PG,3/1/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL Fart,Mascot,77,195,PG,3/2/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester City,Mascot,77,195,PG,3/3/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester United,Mascot,77,195,PG,3/4/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marseille,Mascot,77,195,PG,3/5/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco,Mascot,77,195,PG,3/6/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paris Saint-Germain,Mascot,77,195,PG,3/7/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real Madrid,Mascot,77,195,PG,3/8/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporting CP,Mascot,77,195,PG,3/9/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tottenham Hotspur,Mascot,77,195,PG,3/10/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valencia,Mascot,77,195,PG,3/11/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC Milan,Mascot,77,195,PG,2/17/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFC Richmond,Mascot,77,195,PG,2/18/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajax,Mascot,77,195,PG,2/19/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Mascot,77,195,PG,2/20/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Mascot,77,195,PG,2/21/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atletico Madrid,Mascot,77,195,PG,2/22/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona,Mascot,77,195,PG,2/23/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayern Munich,Mascot,77,195,PG,2/24/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benfica,Mascot,77,195,PG,2/25/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton,Mascot,77,195,PG,2/26/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea,Mascot,77,195,PG,2/27/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Mascot,77,195,PG,2/28/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inter Milan,Mascot,77,195,PG,2/29/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juventus,Mascot,77,195,PG,3/1/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL Fart,Mascot,77,195,PG,3/2/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester City,Mascot,77,195,PG,3/3/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester United,Mascot,77,195,PG,3/4/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marseille,Mascot,77,195,PG,3/5/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco,Mascot,77,195,PG,3/6/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paris Saint-Germain,Mascot,77,195,PG,3/7/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real Madrid,Mascot,77,195,PG,3/8/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporting CP,Mascot,77,195,PG,3/9/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tottenham Hotspur,Mascot,77,195,PG,3/10/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valencia,Mascot,77,195,PG,3/11/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC Milan,Mascot,77,195,PG,2/17/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFC Richmond,Mascot,77,195,PG,2/18/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajax,Mascot,77,195,PG,2/19/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Mascot,77,195,PG,2/20/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Mascot,77,195,PG,2/21/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atletico Madrid,Mascot,77,195,PG,2/22/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona,Mascot,77,195,PG,2/23/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayern Munich,Mascot,77,195,PG,2/24/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benfica,Mascot,77,195,PG,2/25/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton,Mascot,77,195,PG,2/26/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea,Mascot,77,195,PG,2/27/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Mascot,77,195,PG,2/28/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inter Milan,Mascot,77,195,PG,2/29/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juventus,Mascot,77,195,PG,3/1/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL Fart,Mascot,77,195,PG,3/2/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester City,Mascot,77,195,PG,3/3/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester United,Mascot,77,195,PG,3/4/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marseille,Mascot,77,195,PG,3/5/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco,Mascot,77,195,PG,3/6/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paris Saint-Germain,Mascot,77,195,PG,3/7/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real Madrid,Mascot,77,195,PG,3/8/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporting CP,Mascot,77,195,PG,3/9/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tottenham Hotspur,Mascot,77,195,PG,3/10/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valencia,Mascot,77,195,PG,3/11/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea,Mascot,77,195,PG,2/27/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Mascot,77,195,PG,2/28/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inter Milan,Mascot,77,195,PG,2/29/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juventus,Mascot,77,195,PG,3/1/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
